ID,Individual,Sex,Mother ID,Mother name,Father ID,Father name,Birth date type,Birth year,Birth month,Birth day,Death date type,Death year,Death month,Death day,Partner ID,Partner name,Partner title,Partnership type,Partnership date type,Partnership year,Ex-partner IDs,place of birth,coordinate location birth,place of death,coordinate location death,Profession
S7JF8,Odoardo Farnese,Male,,,,,Known,1622,3,5,Known,1646,9,11,G038H,Margherita de' Medici,Wife,Married,Known,1628,,Parma,"44.801472222222,10.328",Piacenza,"45.05,9.7","Duke of Parma, Piacenza and Castro"
GAQPF,Giacomo Feo,Male,,,,,Known,1471,,,Known,1495,,,HXM7P,Caterina Sforza,Partner,,,,,Forlì,"44.22277777777778,12.04138888888889",Forlì,"44.22277777777778,12.04138888888889",
DNDG3,Charles II Gonzaga,Male,,,,,Known,1609,10,22,Known,1631,8,30,Q1YDH,Maria Gonzaga,Partner,,,,,Kingdom of France,"47,2",Cavriana,"45.35,10.6",Duke of Nevers
WQRP7,Charles II Gonzaga,Male,Q1YDH,Maria Gonzaga,DNDG3,Charles II Gonzaga,Known,1629,10,3,Known,1665,8,14,OI01H,Isabella Clara von Habsburg,Partner,,,,,Mantua,"45.156388888889,10.791111111111",Mantua,"45.156388888889,10.791111111111",Duke of Mantua and Montferrat
SBAQS,Eleonora Gonzaga,Female,Q1YDH,Maria Gonzaga,DNDG3,Charles II Gonzaga,Known,1630,11,18,Known,1686,12,6,,,,,,,IJQU4,Mantua,"45.156388888889,10.791111111111",Vienna,"48.208333333333336,16.3725",Holy Roman Empress and Queen of Hungary and Bohemia
EZGXZ,Eleonora Gonzaga,Female,U8RR7,Eleonora de' Medici,MOD01,Vincenzo I Gonzaga,Known,1598,9,23,Known,1655,6,27,AGIZ6,Ferdinand II von Habsburg,Husband,Married,Known,1622,,Mantua,"45.156388888889,10.791111111111",Vienna,"48.208333333333336,16.3725","Holy Roman Empress, Queen of Bohemia, Hungary, and Croatia"
ASYBP,Federico II Gonzaga,Male,L4ZX8,Isabella d'Este,Y0BIU,Francesco II Gonzaga,Known,1500,5,17,Known,1540,8,28,JBFOU,Margaret Palaeologus-Montferrat,Partner,,,,,Mantua,"45.156388888889,10.791111111111",Duchy of Mantua,"45.156389,10.791111",Duke of Mantua
JDWDX,Ferdinando Gonzaga,Male,U8RR7,Eleonora de' Medici,MOD01,Vincenzo I Gonzaga,Known,1587,4,26,Known,1626,10,29,E00H3,Caterina de' Medici,Wife,Married,Known,1617,,Mantua,"45.156388888889,10.791111111111",Mantua,"45.156388888889,10.791111111111","Cardinal, then Duke of Mantua and Duke of Montferrat"
Y0BIU,Francesco II Gonzaga,Male,,,,,Known,1466,8,10,Known,1519,3,29,L4ZX8,Isabella d'Este,Wife,Married,Known,1492,,Mantua,"45.156388888889,10.791111111111",Mantua,"45.156388888889,10.791111111111",Marquis of Mantua
W6XTM,Francesco III Gonzaga,Male,JBFOU,Margaret Palaeologus-Montferrat,ASYBP,Federico II Gonzaga,Known,1533,3,10,Known,1550,2,22,WIN65,Catherine von Habsburg,Wife,Married,Known,1549,,Mantua,"45.156388888889,10.791111111111",Mantua,"45.156388888889,10.791111111111",
ZX20B,Guglielmo Gonzaga,Male,JBFOU,Margaret Palaeologus-Montferrat,ASYBP,Federico II Gonzaga,Known,1538,4,24,Known,1587,8,14,L0W5K,Eleonor von Habsburg,Wife,Married,Known,1561,,Mantua,"45.156388888889,10.791111111111",Goito,"45.25,10.666666666667",Duke of Mantua
Q1YDH,Maria Gonzaga,Female,,,,,Known,1609,7,29,Known,1660,8,14,DNDG3,Charles II Gonzaga,Partner,,,,,Mantua,"45.156388888889,10.791111111111",Mantua,"45.156388888889,10.791111111111",Duchess of Montferrat
QJEP1,Marie Louise Gonzaga,Female,,,,,Known,1611,8,18,Known,1667,5,10,S5OJ7,John II Casimir Vasa,Husband,Married,Range,1649,KMCF4,Paris,"48.85666666666667,2.352222222222222",Warsaw,"52.23,21.011111111111113","Queen of Poland, Grand Duchess of Lithuania"
,,,,,,,,,,,,,,,,,,,,,,Nevers,"46.9925,3.1566666666667",,,
MOD01,Vincenzo I Gonzaga,Male,L0W5K,Eleonor von Habsburg,ZX20B,Guglielmo Gonzaga,Known,1587,9,21,Known,1612,2,9,U8RR7,Eleonora de' Medici,Wife,Married,Known,1584,B8A8S,Mantua,"45.156388888889,10.791111111111",Mantua,"45.156388888889,10.791111111111",Duke of Mantua and Monferrato
C6WVQ,Anne Jagiellon,Female,,,,,Known,1503,7,23,Known,1547,1,27,JLF7W,Ferdinand I von Habsburg,Husband,Married,Known,1521,,Buda,"47.466666666667,19.05",Prague,"50.0875,14.421388888888888","Queen of Germany, Bohemia, and Hungary, Archduchess of Austria"
,,,,,,,,,,,,,,,,,,,,,,Prague,"50.0875,14.421388888888888",,,
OMES6,Sigismund II Augustus Jagiellon,Male,,,,,Known,1520,8,1,Known,1572,7,7,,,,,,,XVPKE WIN65,,,,,King of Poland and Grand Duke of Lithuania
S1YD1,Charles III Lorraine,Male,,,,,Known,1543,2,18,Known,1608,5,14,UBRKU,Claude Valois-Angoulême,Partner,,,,,Nancy,"48.692777777778,6.1836111111111",Nancy,"48.692777777778,6.1836111111111",Duke of Lorraine
UPW4N,Elisabeth Lorraine,Female,,,,,Known,1574,10,9,Known,1635,1,4,,,,,,,ZR5IO,Nancy,"48.692777777778,6.1836111111111",Braunau am Inn,"48.258333333333,13.033333333333",Electress of Bavaria
TTVF0,Alfonsina Orsini,Female,,,,,Known,1472,,,Known,1520,2,7,Y2GRH,Piero di Lorenzo de' Medici,Partner,,,,,,,,,
RNCTU,Clarice Orsini,Female,,,,,Known,1453,,,Known,1488,7,30,IVT99,"Lorenzo ""il Magnifico"" de' Medici",Partner,,,,,Monterotondo,"42.05,12.616666666667",Florence,"43.771388888889,11.254166666667",
JBFOU,Margaret Palaeologus-Montferrat,Female,,,,,Known,1510,8,11,Known,1566,12,28,ASYBP,Federico II Gonzaga,Partner,,,,,,,,,Marquise of Montferrat and Duchess of Mantua
DGLPW,Girolamo Riario,Male,,,,,Known,1443,,,Known,1488,,,,,,,,,HXM7P,Savona,"44.308055555555555,8.481111111111112",Forlì,"44.22277777777778,12.04138888888889",
GEM7B,Jacopo Salviati,Male,,,,,Known,1461,9,15,Known,1533,9,6,OGJ2R,Lucrezia Maria Romola de' Medici,Partner,,,,,Florence,"43.771388888889,11.254166666667",,,
ZO0ZH,Maria Salviati,Female,OGJ2R,Lucrezia Maria Romola de' Medici,GEM7B,Jacopo Salviati,Known,1499,7,17,Known,1543,12,12,AD7CQ,Giovanni delle Bande Nere de' Medici,Partner,,,,,Florence,"43.771388888889,11.254166666667",Villa Castello,"43.819444,11.228167",
HXM7P,Caterina Sforza,Female,,,,,Known,1463,,,Known,1509,5,28,GAQPF,Giacomo Feo,Partner,,,,S66W3 DGLPW,Milan,"45.466944444444,9.19",Florence,"43.771388888889,11.254166666667",
L5BDT,Lucrezia Tornabuoni,Female,,,,,Known,1427,6,22,Known,1482,3,28,B7ZKI,Piero di Cosimo de' Medici,Partner,,,,,Florence,"43.771388888889,11.254166666667",Florence,"43.771388888889,11.254166666667",
SL33Z,Joanna Trastámara,Female,,,,,Known,1479,11,6,Known,1555,4,12,IENY6,"Philip ""the Handsome"" von Habsburg",Husband,Married,Known,1496,,,,,,Queen of Castile and Aragon
YG55T,Margaret Valois,Female,KGX78,Catherine de' Medici,D51U4,Henry II Valois-Angoulême,Known,1553,5,14,Known,1615,3,27,JOCRB,Henry IV Bourbon,Ex-husband,Annulled,Known,1572,,Saint-Germain-en-Laye,"48.896388888889,2.0905555555556",Paris,"48.85666666666667,2.352222222222222",Queen of France and Navarre
UBRKU,Claude Valois-Angoulême,Female,KGX78,Catherine de' Medici,D51U4,Henry II Valois-Angoulême,Known,1547,11,12,Known,1575,2,21,S1YD1,Charles III Lorraine,Partner,,,,,Palace of Fontainebleau,"48.402222222222,2.7005555555556",Nancy,"48.692777777778,6.1836111111111",Duchess of Lorraine
D51U4,Henry II Valois-Angoulême,Male,,,,,Known,1519,3,31,Known,1559,7,10,KGX78,Catherine de' Medici,Wife,Married,Known,1533,,Château de Saint-Germain-en-Laye,"48.898055555556,2.0963888888889",Hôtel des Tournelles,"48.85444444,2.365",King of France
Q8C63,Johanna Maria van der Gheynst,Female,,,,,,,,,,,,,,,,,,,,Oudenaarde,"50.85,3.6",Brussels,"50.846666666666664,4.351666666666667",
,,,,,,,,,,,,,,,,,,,,,,,,,,
S5OJ7,John II Casimir Vasa,Male,DJ4BU,Constance von Habsburg,YRBJY,Sigismund III Vasa,Known,1609,3,22,Known,1672,12,16,QJEP1,Marie Louise Gonzaga,Wife,Married,Range,1649,,Kraków,"50.061388888889,19.937222222222",Nevers,"46.9925,3.1566666666667","King of Poland, Grand Duke of Lithuania"
YRBJY,Sigismund III Vasa,Male,,,,,Known,1566,6,20,Known,1632,4,30,DJ4BU,Constance von Habsburg,Wife,Married,Known,1605,OOWC4,Gripsholm Castle,"59.256111,17.219167",Warsaw,"52.23,21.011111111111113","King of Poland and Sweden, Grand Duke of Lithuania"
,,,,,,,,,,,,,,,,,,,,,,,,,,
KMCF4,Władysław IV Vasa,Male,OOWC4,Anne von Habsburg,YRBJY,Sigismund III Vasa,Known,1595,6,9,Known,1648,5,20,,,,,,,ZB7JJ QJEP1,Łobzów,"50.075278,19.9075",Merkinė,"54.163888888889,24.186111111111","King of Poland, Grand Duke of Lithuania"
A6XG2,Maria Anna von Bayern,Female,,,,,Known,1551,3,21,Known,1608,4,29,VGTHM,Charles II von Habsburg,Husband,Married,Known,1571,,Munich,"48.1375,11.575",Graz,"47.07083333333333,15.438611111111111",Archduchess of Inner Austria
GSCNE,Anna von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1528,7,7,Known,1590,10,16,,,,,,,,Prague,"50.0875,14.421388888888888",Munich,"48.1375,11.575",Archduchess of Austria and Duchess of Bavaria
NEGXD,Anne von Habsburg,Female,NGI9J,Margaret von Habsburg,G6P6F,Philip III von Habsburg,Known,1601,9,22,Known,1666,1,20,IHZQE,Louis XIII Bourbon,Husband,Married,Known,1615,,Valladolid,"41.651980555556,-4.7285611111111",Paris,"48.85666666666667,2.352222222222222",Queen of France
B7FN2,Anne von Habsburg,Female,KRSZR,Maria von Habsburg,JS4I3,Maximilian II von Habsburg,Known,1549,11,2,Known,1580,10,26,S1TT1,Philip II von Habsburg,Partner,,,,,"Palace of the Counts of Benavente, Cigales","41.757311,-4.696242",Badajoz,"38.87789,-6.970609",Queen of Spain
OOWC4,Anne von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1573,8,16,Known,1598,2,10,,,,,,,YRBJY,Graz,"47.07083333333333,15.438611111111111",Warsaw,"52.23,21.011111111111113","Queen of Poland and Sweden, Grand Duchess of Lithuania"
OQEKC,Barbara von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1539,4,30,Known,1572,9,19,,,,,,,,Innsbruck,"47.268333333333,11.393333333333",Ferrara,"44.839166666666664,11.6175","Archduchess of Austria; Duchess of Ferrara, Modena, and Reggio"
VVT26,Carlos von Habsburg,Male,NGI9J,Margaret von Habsburg,G6P6F,Philip III von Habsburg,Known,1607,9,15,Known,1632,7,30,,,,,,,,Madrid,"40.41694444444445,-3.703333333333333",Royal Alcazar of Madrid,"40.4181,-3.71417",Infante of Spain
WIN65,Catherine von Habsburg,Female,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1533,9,15,Known,1572,2,28,W6XTM,Francesco III Gonzaga,Husband,Married,Known,1549,OMES6,Innsbruck,"47.268333333333,11.393333333333",Linz,"48.30583333333333,14.286388888888888","Duchess of Mantua and Montferrat, then Queen of Poland and Grand Duchess of Lithuania"
,,,,,,,,,,,,,,,,,,,,,,,,,,
BSZAD,Catherine Renata von Habsburg,Female,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1595,1,4,Known,1599,6,29,,,,,,,,,,,,Archduchess of Austria
ZB7JJ,Cecilia Renata von Habsburg,Female,U2H75,Maria Anna Wittelsbach,AGIZ6,Ferdinand II von Habsburg,Known,1611,7,16,Known,1644,3,24,,,,,,,KMCF4,Graz,"47.07083333333333,15.438611111111111",Vilnius,"54.687222222222225,25.28","Queen of Poland, Grand Duchess of Lithuania"
UE71E,Charles von Habsburg,Male,A6XG2,Maria Anna von Bayern,VGTHM,Charles II von Habsburg,Known,1590,8,7,Known,1624,12,28,,,,,,,,Graz,"47.07083333333333,15.438611111111111",Royal Alcazar of Madrid,"40.4181,-3.71417",Prince-Bishop of Wroclaw and Brixen
,,,,,,,,,,,,,,,,,,,,,,,,Madrid,"40.41694444444445,-3.703333333333333",
VGTHM,Charles II von Habsburg,Male,C6WVQ,Anne Jagiellon,JLF7W,Ferdinand I von Habsburg,Known,1540,6,3,Known,1590,7,10,A6XG2,Maria Anna von Bayern,Wife,Married,Known,1571,,Vienna,"48.208333333333336,16.3725",Graz,"47.07083333333333,15.438611111111111",Archduke of Inner Austria
